,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,71.98,77,49,20.69,PF,1600789833
1,Busselton,-33.65,115.33,48.99,71,29,6.85,AU,1600789401
2,Khatanga,71.97,102.5,47.35,69,14,10.13,RU,1600789834
3,Hermanus,-34.42,19.23,64.99,63,0,3.0,ZA,1600789834
4,Jamestown,42.1,-79.24,61.0,62,1,5.17,US,1600789834
5,Amapá,1.0,-52.0,95.38,33,10,6.04,BR,1600789835
6,Bilibino,68.05,166.44,29.21,94,99,2.59,RU,1600789406
7,Matagalpa,12.93,-85.92,80.82,63,6,5.17,NI,1600789835
8,Yellowknife,62.46,-114.35,44.6,100,90,12.75,CA,1600789835
9,Mahébourg,-20.41,57.7,71.6,73,20,4.7,MU,1600789836
10,Saldanha,-33.01,17.94,73.4,31,0,13.87,ZA,1600789797
11,Albany,42.6,-73.97,57.99,54,0,7.18,US,1600789827
12,Hilo,19.73,-155.09,73.4,73,75,5.82,US,1600789836
13,Fuyu,45.18,124.82,50.95,95,1,2.91,CN,1600789836
14,Banikoara,11.3,2.44,82.18,78,53,3.89,BJ,1600789837
15,Thompson,55.74,-97.86,50.0,93,90,10.29,CA,1600789837
16,Rio de Mouro,38.77,-9.33,73.99,88,75,11.41,PT,1600789837
17,Bredasdorp,-34.53,20.04,64.4,59,0,8.05,ZA,1600789779
18,Punta Arenas,-53.15,-70.92,44.6,70,75,17.22,CL,1600789838
19,Shar,49.59,81.05,58.51,33,100,7.58,KZ,1600789838
20,Bonthe,7.53,-12.51,83.12,70,45,9.53,SL,1600789838
21,Amsterdam,52.37,4.89,72.0,52,0,8.05,NL,1600789701
22,Barrow,71.29,-156.79,35.6,94,90,14.99,US,1600789838
23,Bathsheba,13.22,-59.52,89.6,62,40,10.29,BB,1600789839
24,Ushuaia,-54.8,-68.3,42.8,81,40,31.09,AR,1600789839
25,Bairiki Village,1.33,172.98,80.6,78,20,12.75,KI,1600789839
26,Nikolskoye,59.7,30.79,59.0,72,75,13.42,RU,1600789399
27,Bahía Solano,6.23,-77.4,81.77,78,94,6.38,CO,1600789839
28,Taksimo,56.34,114.88,42.08,86,88,0.81,RU,1600789777
29,Pisco,-13.7,-76.22,66.0,82,75,5.82,PE,1600789840
30,Kavieng,-2.57,150.8,81.91,75,71,8.03,PG,1600789397
31,East London,-33.02,27.91,66.2,68,0,12.75,ZA,1600789840
32,Ostrovnoy,68.05,39.51,45.59,82,100,20.58,RU,1600789840
33,Cape Town,-33.93,18.42,64.99,69,0,3.0,ZA,1600789841
34,Kapaa,22.08,-159.32,80.6,69,90,10.29,US,1600789841
35,Ancud,-41.87,-73.82,59.0,66,48,1.99,CL,1600789841
36,Petatlán,17.52,-101.27,84.2,74,20,4.7,MX,1600789841
37,San Quintín,30.48,-115.95,75.51,59,0,7.23,MX,1600789803
38,Pangnirtung,66.15,-65.71,35.6,59,20,4.7,CA,1600789842
39,Faanui,-16.48,-151.75,78.15,78,89,18.95,PF,1600789842
40,Fairbanks,64.84,-147.72,34.0,90,90,1.86,US,1600789801
41,Hong Kong,22.29,114.16,84.0,80,100,13.11,HK,1600789599
42,Bluff,-46.6,168.33,54.0,92,88,7.0,NZ,1600789843
43,Baykit,61.67,96.37,43.39,72,88,6.04,RU,1600789758
44,Hay River,60.82,-115.8,39.2,100,20,9.17,CA,1600789843
45,Ribeira Grande,38.52,-28.7,73.4,56,20,3.36,PT,1600789777
46,Aranda de Duero,41.67,-3.69,69.73,34,30,11.3,ES,1600789843
47,Buala,-8.14,159.59,80.17,79,18,5.01,SB,1600789843
48,Siquijor,9.21,123.52,80.6,78,75,7.96,PH,1600789844
49,Sitka,57.05,-135.33,55.4,62,90,17.22,US,1600789794
50,Bilma,18.69,12.92,100.83,10,16,9.15,NE,1600789776
51,Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,75,2.24,RU,1600789471
52,Kaitangata,-46.28,169.85,47.68,89,82,6.29,NZ,1600789845
53,Laas,46.62,10.7,63.0,82,75,8.05,IT,1600789441
54,Kaitong,44.81,123.15,53.76,79,0,5.48,CN,1600789845
55,Castro,-24.79,-50.01,65.79,59,45,11.7,BR,1600789280
56,Pokhara,28.23,83.98,72.88,82,90,1.61,NP,1600789846
57,George Town,5.41,100.34,80.6,94,40,6.93,MY,1600789601
58,Sistranda,63.73,8.83,48.2,87,90,8.05,NO,1600789846
59,Cabo San Lucas,22.89,-109.91,84.99,83,5,4.7,MX,1600789847
60,Seoul,37.57,126.98,64.4,59,84,4.7,KR,1600789771
61,Avarua,-21.21,-159.78,71.6,100,90,2.24,CK,1600789847
62,Fare,-16.7,-151.02,78.71,77,65,18.32,PF,1600789847
63,Narsaq,60.92,-46.05,39.2,29,20,1.12,GL,1600789848
64,Mataura,-46.19,168.86,54.0,92,78,7.0,NZ,1600789848
65,The Valley,18.22,-63.06,89.6,62,20,8.05,AI,1600789848
66,New Norfolk,-42.78,147.06,50.0,70,69,8.99,AU,1600789848
67,Salinópolis,-0.61,-47.36,84.54,65,98,15.05,BR,1600789849
68,Qaanaaq,77.48,-69.36,14.5,82,0,8.28,GL,1600789849
69,Tekeli,44.83,78.82,51.21,48,85,2.06,KZ,1600789849
70,Zhezkazgan,47.8,67.71,50.67,47,75,11.79,KZ,1600789849
71,Mizdah,31.45,12.98,95.16,16,0,2.68,LY,1600789845
72,San Patricio,19.22,-104.7,87.8,79,75,6.93,MX,1600789850
73,Hobart,-42.88,147.33,50.0,66,58,11.41,AU,1600789791
74,Northam,51.03,-4.22,63.0,89,97,7.0,GB,1600789850
75,Ayagoz,47.97,80.44,56.57,34,99,13.15,KZ,1600789850
76,Halifax,44.65,-63.57,50.0,95,100,8.99,CA,1600789651
77,Johnstown,40.33,-78.92,60.01,50,1,9.17,US,1600789851
78,Tiznit Province,29.58,-9.5,85.28,27,56,9.26,MA,1600789796
79,Alekseyevka,50.63,38.69,60.66,47,0,4.74,RU,1600789852
80,Arrondissement du Havre,49.58,0.33,69.01,88,40,6.93,FR,1600789852
81,Saskylakh,71.92,114.08,44.92,65,5,14.29,RU,1600789774
82,Clyde River,70.47,-68.59,32.0,94,40,2.24,CA,1600789784
83,Salalah,17.02,54.09,80.6,88,75,11.41,OM,1600789852
84,Nuuk,64.18,-51.72,35.6,93,75,5.66,GL,1600789853
85,Sergiyevsk,53.94,51.16,55.17,72,90,14.74,RU,1600789853
86,Carnarvon,-24.87,113.63,64.4,88,0,11.41,AU,1600789853
87,Butaritari,3.07,172.79,82.24,78,15,16.33,KI,1600789769
88,Mujiayingzi,42.12,118.78,53.94,54,100,5.14,CN,1600789853
89,Conakry,9.54,-13.68,86.0,74,40,11.41,GN,1600789707
90,Walvis Bay,-22.96,14.51,60.8,67,11,9.17,NA,1600789854
91,Dispur,26.14,91.79,80.6,100,90,3.15,IN,1600789854
92,Lata,40.16,-8.33,80.01,61,58,5.01,PT,1600789854
93,Lukulu,-14.37,23.24,92.35,11,17,8.28,ZM,1600789855
94,Atuona,-9.8,-139.03,78.22,73,45,21.03,PF,1600789395
95,Tasiilaq,65.61,-37.64,28.4,86,90,19.46,GL,1600789420
96,Angoche,-16.23,39.91,76.66,78,0,10.8,MZ,1600789855
97,Mâncio Lima,-7.61,-72.9,86.0,71,100,2.39,BR,1600789856
98,San Ignacio,17.16,-89.07,84.99,83,75,2.3,BZ,1600789856
99,Cayenne,4.93,-52.33,89.6,52,75,9.17,GF,1600789394
100,Letlhakane,-21.42,25.58,75.87,41,0,20.02,BW,1600789856
101,Pimentel,-6.84,-79.93,68.0,68,20,3.36,PE,1600789857
102,Port Alfred,-33.59,26.89,63.9,68,14,12.57,ZA,1600789857
103,Puerto Ayora,-0.74,-90.35,69.01,80,90,8.01,EC,1600789857
104,Lavrentiya,65.58,-171.0,37.36,90,93,7.29,RU,1600789857
105,Grindavik,63.84,-22.43,42.8,70,75,10.29,IS,1600789858
106,Douglas,41.3,-96.17,72.0,11,1,13.87,US,1600789821
107,Lebu,-37.62,-73.65,53.92,72,40,16.11,CL,1600789739
108,Kharan,28.58,65.42,80.96,15,0,4.32,PK,1600789862
109,Batagay-Alyta,67.8,130.41,34.59,85,29,0.89,RU,1600789862
110,Mar del Plata,-38.0,-57.56,59.0,47,72,12.75,AR,1600789863
111,Vila,42.03,-8.16,66.99,75,41,10.0,PT,1600789863
112,Port Elizabeth,-33.92,25.57,64.4,59,32,8.05,ZA,1600789765
113,Kushima,31.46,131.23,72.09,75,62,8.81,JP,1600789863
114,Clonakilty,51.62,-8.87,61.0,87,75,14.99,IE,1600789864
115,Sheridan,44.83,-106.92,66.99,50,1,3.36,US,1600789864
116,Cidreira,-30.18,-50.21,59.97,59,0,10.65,BR,1600789773
117,Kahului,20.89,-156.47,78.8,61,40,3.36,US,1600789781
